,米ドル,英ポンド,ユーロ,カナダドル,スイスフラン,スウェーデンクローネ,デンマーククローネ,ノルウェークローネ,オーストラリアドル,ニュージーランドドル,南アフリカランド,バーレーンディナール,インドネシアルピア,中国人民元,香港ドル,インドルピー,マレーシアリンギ,フィリピンペソ,シンガポールドル,韓国ウォン,タイバーツ,クウェートディナール,サウジアラビアリアル,UAEディルハム,メキシコペソ,パプアニューギニアキナ,ハンガリーフォリント,チェココロナ,ポーランドズロチ,ロシアルーブル,トルコリラ,インドネシアルピア,中国人民元,マレーシアリンギ,韓国ウォン,台湾ドル
,USD,GBP,EUR,CAD,CHF,SEK,DKK,NOK,AUD,NZD,ZAR,BHD,IDR(100),CNY,HKD,INR,MYR,PHP,SGD,KRW(100),THB,KWD,SAR,AED,MXN,PGK,HUF,CZK,PLN,RUB,TRY,IDR(100),CNY,MYR,KRW(100),TWD
2015/5/29,120.76,187.34,134.71,99.18,129.48,14.49,18.06,16.01,95.41,89.11,10.11,320.59,*****,19.47,15.58,1.9,*****,2.71,90.52,*****,3.6,400.04,32.21,32.88,7.92,44.5,0.44,4.92,32.99,2.39,45.89,0.92,*****,33.54,11.04,3.95
2015/6/30,123.77,192.59,138.77,100.12,132.84,14.96,18.6,15.85,95.48,86.59,10.07,328.62,*****,19.95,15.97,1.94,*****,2.75,91.98,*****,3.67,409.67,33.01,33.7,8,45.37,0.45,5.09,33.4,2.28,45.82,0.93,*****,33.13,11.12,4.01
2015/7/31,123.25,191.78,135.65,96.13,129.4,14.48,18.18,15.2,91.53,82.09,9.91,327.33,*****,19.84,15.9,1.94,*****,2.73,90.61,*****,3.6,407.24,32.88,33.56,7.74,44.68,0.44,5.01,32.64,2.15,45.68,0.92,*****,32.44,10.76,3.96
2015/8/31,123.22,192.2,137.15,93.75,127.28,14.41,18.38,14.94,89.99,80.78,9.56,327.13,*****,19.33,15.89,1.9,*****,2.67,88.24,*****,3.49,407.43,32.87,33.55,7.46,44.39,0.44,5.08,32.73,1.88,43.28,0.9,*****,30.42,10.45,3.83
2015/9/30,120.24,184.3,135.14,90.64,123.75,14.36,18.11,14.52,84.77,76.17,8.81,319.51,*****,18.74,15.51,1.82,*****,2.57,84.95,*****,3.34,398.07,32.08,32.75,7.14,42.48,0.43,4.99,32.02,1.8,39.91,0.84,*****,27.89,10.12,3.68
2015/10/30,120.08,184.01,134.72,91.75,123.89,14.4,18.06,14.5,86.36,80.15,8.89,319.13,*****,18.88,15.5,1.85,*****,2.59,85.69,*****,3.36,397.64,32.04,32.7,7.24,41.48,0.43,4.98,31.71,1.9,41,0.87,*****,28.18,10.48,3.7
2015/11/30,122.59,186.38,131.64,92.4,121.58,14.12,17.65,14.2,87.59,80.41,8.68,326.17,*****,19.17,15.82,1.86,*****,2.61,86.73,*****,3.43,403.62,32.7,33.39,7.37,41.57,0.42,4.88,30.98,1.89,42.61,0.9,*****,28.41,10.63,3.76
2015/12/30,121.85,182.93,132.52,89.12,122.41,14.32,17.76,14.03,88.33,82.1,8.17,324.03,*****,18.72,15.72,1.83,*****,2.58,86.6,*****,3.39,401.36,32.5,33.18,7.16,40.84,0.42,4.91,30.87,1.75,41.76,0.88,*****,28.47,10.39,3.72
2016/1/29,118.24,170.36,128.37,83.15,117.44,13.84,17.21,13.4,83,77.29,7.24,314.28,*****,17.9,15.2,1.76,*****,2.49,82.56,*****,3.27,388.97,31.54,32.2,6.56,39.28,0.41,4.76,29.15,1.54,39.31,0.85,*****,27.22,9.84,3.54
2016/2/29,115.08,164.68,127.62,83.3,115.8,13.58,17.1,13.37,82.06,76.27,7.3,305.94,*****,17.56,14.79,1.69,*****,2.42,81.8,*****,3.23,383.97,30.7,31.33,6.24,38.1,0.41,4.73,29.02,1.5,39.11,0.85,*****,27.54,9.45,3.47
2016/3/31,113.03,160.68,125.55,85.3,114.97,13.52,16.84,13.31,84.54,76.04,7.34,300.44,*****,17.37,14.56,1.69,*****,2.43,82.18,*****,3.21,375.78,30.15,30.78,6.4,37.64,0.41,4.65,29.26,1.61,39.17,0.86,*****,27.75,9.52,3.46
2016/4/28,109.92,157.04,124.59,85.5,114.03,13.52,16.74,13.35,84.26,75.68,7.52,292.27,*****,16.95,14.17,1.66,*****,2.37,81.38,*****,3.13,364.81,29.32,29.93,6.28,36.1,0.4,4.61,28.98,1.65,38.79,0.83,*****,28.21,9.58,3.4
2016/5/31,109.12,158.47,123.08,84.16,111.22,13.24,16.55,13.23,79.57,74.03,7.09,290.03,*****,16.66,14.05,1.63,*****,2.33,79.53,*****,3.08,362.19,29.11,29.71,5.99,35.47,0.39,4.56,27.95,1.66,37,0.81,*****,26.97,9.28,3.35
2016/6/30,105.72,150.63,118.84,81.99,108.99,12.75,15.98,12.74,78.21,74.31,7.01,280.93,*****,16.02,13.62,1.58,*****,2.28,78.05,*****,3,350.91,28.2,28.79,5.67,34.69,0.38,4.39,27.07,1.62,36.29,0.79,*****,25.93,9.05,3.27
2016/7/29,103.99,136.76,114.96,79.72,105.85,12.14,15.46,12.28,78.16,74.07,7.21,276.11,*****,15.55,13.41,1.55,*****,2.21,76.95,*****,2.97,344.39,27.74,28.31,5.6,33.52,0.36,4.25,26.18,1.62,35.09,0.79,*****,25.88,9.1,3.24
2016/8/31,101.34,132.88,113.54,77.97,104.39,11.96,15.26,12.2,77.21,73.22,7.36,269.23,*****,15.23,13.07,1.52,*****,2.17,75.21,*****,2.92,336.34,27.03,27.59,5.48,32.76,0.37,4.2,26.39,1.56,34.23,0.77,*****,25.17,9.12,3.21
2016/9/30,101.98,134.31,114.33,77.93,104.7,11.95,15.36,12.43,77.38,74.53,7.24,271.02,*****,15.27,13.15,1.53,*****,2.15,75.04,*****,2.94,338.51,27.2,27.77,5.34,32.73,0.37,4.23,26.45,1.58,34.39,0.78,*****,24.86,9.2,3.24
2016/10/31,103.8,128.21,114.4,78.41,105.17,11.79,15.38,12.72,79.09,74.3,7.45,275.86,*****,15.4,13.38,1.56,*****,2.15,75.04,*****,2.96,343.41,27.68,28.26,5.5,33.5,0.37,4.24,26.56,1.66,33.79,0.8,*****,24.88,9.22,3.29
2016/11/30,108.27,134.61,116.82,80.51,108.67,11.86,15.7,12.86,81.59,77.39,7.78,287.78,*****,15.79,13.96,1.6,*****,2.2,76.75,*****,3.06,356.81,28.88,29.48,5.42,34.95,0.38,4.32,26.64,1.68,32.98,0.81,*****,25.02,9.32,3.41
2016/12/30,115.98,144.81,122.25,86.89,113.72,12.57,16.44,13.55,85.21,81.66,8.37,308.28,*****,16.76,14.95,1.71,*****,2.33,80.78,*****,3.24,379.89,30.93,31.58,5.66,37.49,0.39,4.52,27.57,1.87,33.16,0.87,*****,26.03,9.81,3.63
2017/1/31,114.77,141.63,122.09,86.93,113.91,12.84,16.42,13.56,85.74,81.85,8.47,305.08,*****,16.76,14.8,1.69,*****,2.31,80.39,*****,3.24,375.97,30.61,31.25,5.35,37.12,0.4,4.52,27.98,1.92,30.52,0.86,*****,25.78,9.73,3.63
2017/2/28,113.11,141.32,120.4,86.31,112.95,12.71,16.2,13.59,86.62,81.71,8.57,300.66,*****,16.52,14.58,1.69,*****,2.26,79.89,*****,3.23,370.9,30.17,30.8,5.57,36.77,0.39,4.46,27.95,1.94,30.84,0.85,*****,25.47,9.89,3.66
2017/3/31,113.05,139.45,120.75,84.46,112.75,12.67,16.24,13.3,86.12,79.24,8.74,300.48,*****,16.42,14.56,1.72,*****,2.25,80.4,*****,3.24,370.68,30.15,30.78,5.85,36.61,0.39,4.47,28.17,1.95,30.77,0.85,*****,25.48,9.97,3.69
2017/4/28,110.12,139,117.95,82.03,109.99,12.29,15.86,12.83,83.08,76.9,8.2,292.73,*****,15.99,14.16,1.71,*****,2.21,78.77,*****,3.2,361.63,29.37,29.98,5.88,35.16,0.38,4.4,27.84,1.95,30.16,0.83,*****,25,9.72,3.63
2017/5/31,112.26,145.05,124.1,82.59,113.72,12.78,16.68,13.21,83.45,77.92,8.47,298.32,*****,16.32,14.42,1.74,*****,2.25,80.45,*****,3.26,369.65,29.94,30.57,5.98,36.3,0.4,4.68,29.54,1.97,31.44,0.84,*****,26.02,9.97,3.72
2017/6/30,110.92,141.95,124.51,83.31,114.54,12.77,16.74,13.1,83.74,80.06,8.6,294.56,*****,16.32,14.22,1.72,*****,2.22,80.13,*****,3.26,365.92,29.58,30.21,6.11,35.76,0.4,4.74,29.58,1.92,31.53,0.83,*****,25.94,9.82,3.67
2017/7/31,112.43,146,129.42,88.34,117.15,13.49,17.41,13.76,87.54,82.65,8.56,298.54,*****,16.6,14.4,1.75,*****,2.22,81.97,*****,3.33,371.85,29.99,30.62,6.31,36.31,0.42,4.96,30.56,1.89,31.59,0.84,*****,26.23,9.92,3.7
2017/8/31,109.94,142.57,129.89,87.22,113.82,13.6,17.46,13.93,87.08,80.43,8.31,291.88,*****,16.45,14.05,1.72,*****,2.16,80.79,*****,3.31,364.71,29.32,29.93,6.18,35.52,0.43,4.98,30.47,1.85,31.34,0.83,*****,25.68,9.73,3.64
2017/9/29,110.75,147.11,131.84,90.03,115.07,13.84,17.72,14.15,88.25,80.2,8.43,294.01,*****,16.86,14.17,1.72,*****,2.17,82,*****,3.34,367.82,29.53,30.16,6.21,35.6,0.43,5.06,30.9,1.92,31.91,0.83,*****,26.28,9.78,3.68
2017/10/31,112.96,149.24,132.85,89.77,115.14,13.83,17.85,14.14,88.05,79.69,8.26,299.67,*****,17.06,14.47,1.74,*****,2.2,83.08,*****,3.4,374.16,30.12,30.76,6.01,36.29,0.43,5.16,31.16,1.96,30.77,0.83,*****,26.73,9.97,3.73
2017/11/30,112.95,149.33,132.46,88.46,113.83,13.47,17.8,13.8,86.09,77.81,8.02,299.61,*****,17.04,14.47,1.74,*****,2.22,83.27,*****,3.43,374.14,30.12,30.76,5.96,36.17,0.43,5.19,31.34,1.91,29.07,0.84,*****,27.07,10.24,3.75
2017/12/29,113.04,151.53,133.71,88.45,114.42,13.46,17.97,13.59,86.37,78.68,8.62,299.74,*****,17.14,14.47,1.76,*****,2.25,83.93,*****,3.46,374.53,30.14,30.78,5.9,36.07,0.43,5.21,31.82,1.93,29.45,0.83,*****,27.74,10.42,3.77
2018/1/31,110.86,153.4,135.33,89.15,115.4,13.79,18.18,14.05,88.28,80.56,9.11,294.14,*****,17.26,14.18,1.74,*****,2.19,83.91,*****,3.48,369.14,29.56,30.19,5.88,35.18,0.44,5.32,32.52,1.96,29.36,0.83,*****,28.09,10.39,3.77
2018/2/28,107.97,151.11,133.46,85.97,115.65,13.45,17.93,13.81,85.14,78.96,9.15,286.47,*****,17.1,13.8,1.68,*****,2.08,81.88,*****,3.43,360.62,28.79,29.4,5.79,34.22,0.43,5.27,32.06,1.9,28.56,0.8,*****,27.65,10.02,3.7
2018/3/30,106.08,148.17,130.89,82.11,112.04,12.88,17.57,13.65,82.4,77,8.97,281.43,*****,16.8,13.53,1.63,*****,2.04,80.68,*****,3.39,354.19,28.29,28.89,5.7,33.46,0.42,5.15,31.12,1.86,27.33,0.77,*****,27.21,9.9,3.63
2018/4/27,107.44,151.54,132.06,84.42,111.22,12.75,17.73,13.72,82.7,78,8.92,285,*****,17.09,13.69,1.64,*****,2.06,81.73,*****,3.44,358.63,28.65,29.26,5.86,33.88,0.43,5.21,31.53,1.78,26.48,0.78,*****,27.69,10.06,3.66
2018/5/31,109.75,147.9,129.7,85.32,110.03,12.54,17.41,13.56,82.61,76.24,8.77,291.01,*****,17.25,13.98,1.63,*****,2.1,81.96,*****,3.43,364.03,29.27,29.88,5.62,34.53,0.41,5.06,30.29,1.76,24.82,0.78,*****,27.7,10.2,3.68
2018/6/29,110.03,146.21,128.42,83.86,111.14,12.5,17.24,13.55,82.46,76.4,8.29,291.21,*****,17.04,14.02,1.63,*****,2.07,81.66,*****,3.39,364.32,29.34,29.96,5.42,34.51,0.4,4.98,29.86,1.75,23.79,0.79,*****,27.54,10.07,3.66
2018/7/31,111.39,146.67,130.15,84.78,112.05,12.62,17.47,13.7,82.46,75.63,8.31,294.47,*****,16.56,14.19,1.62,*****,2.09,81.72,*****,3.35,368.2,29.7,30.33,5.85,34.72,0.4,5.03,30.09,1.77,23.43,0.77,*****,27.52,9.92,3.65
2018/8/31,111.09,143.11,128.28,85.19,112.34,12.27,17.21,13.33,81.44,74.13,7.92,294.52,*****,16.22,14.15,1.6,*****,2.09,81.18,*****,3.36,366.75,29.62,30.25,5.9,34.4,0.4,4.99,29.96,1.68,19.08,0.76,*****,27.16,9.91,3.62
2018/9/28,111.91,146.04,130.43,85.74,115.57,12.49,17.49,13.55,80.54,73.77,7.56,296.93,*****,16.32,14.27,1.55,*****,2.08,81.58,*****,3.43,369.63,29.84,30.47,5.88,34.52,0.4,5.09,30.34,1.65,17.62,0.75,*****,27.04,9.99,3.64
2018/10/31,112.82,146.82,129.63,86.77,113.59,12.49,17.38,13.68,80.22,73.74,7.79,299.35,*****,16.29,14.39,1.54,*****,2.09,81.83,*****,3.45,372.13,30.08,30.72,5.89,34.55,0.4,5.02,30.13,1.72,19.41,0.74,*****,27.15,9.97,3.65
2018/11/30,113.37,146.3,128.79,85.9,113.21,12.51,17.26,13.38,82.1,76.67,8.02,300.79,*****,16.35,14.48,1.58,*****,2.15,82.42,*****,3.44,373.1,30.23,30.87,5.61,34.59,0.4,4.97,29.95,1.71,21.11,0.77,*****,27.1,10.05,3.68
2018/12/28,112.51,142.45,127.92,83.86,113.32,12.44,17.14,13.05,80.86,76.86,7.91,298.51,*****,16.33,14.39,1.59,*****,2.13,82.06,*****,3.44,370.11,29.99,30.64,5.58,34.31,0.4,4.95,29.84,1.67,21.17,0.78,*****,26.96,10.02,3.66
2019/1/31,108.99,140.81,124.48,82.03,110.16,12.12,16.67,12.76,78.01,73.92,7.9,289.18,*****,16.05,13.9,1.54,*****,2.08,80.39,*****,3.43,359.52,29.06,29.68,5.7,33.24,0.39,4.86,29.02,1.64,20.34,0.77,*****,26.5,9.72,3.54
2019/2/28,110.39,143.62,125.31,83.61,110.2,11.94,16.79,12.87,78.92,75.5,8,292.89,*****,16.36,14.06,1.55,*****,2.12,81.56,*****,3.53,363.88,29.44,30.06,5.75,33.67,0.39,4.87,29.03,1.68,20.96,0.79,*****,27.08,9.84,3.58
2019/3/29,111.24,146.64,125.68,83.23,111.13,11.97,16.84,12.93,78.71,75.99,7.74,295.15,*****,16.56,14.17,1.6,*****,2.12,82.13,*****,3.51,366.41,29.67,30.29,5.78,33.76,0.4,4.9,29.25,1.71,20.44,0.78,*****,27.28,9.83,3.61
2019/4/26,111.73,145.66,125.57,83.57,111.01,12.01,16.82,13.06,79.55,75.14,7.91,296.41,*****,16.64,14.24,1.62,*****,2.15,82.44,*****,3.51,367.42,29.8,30.42,5.89,33.95,0.39,4.89,29.31,1.73,19.5,0.79,*****,27.19,9.8,3.62
2019/5/31,109.86,140.8,122.85,81.61,108.76,11.43,16.45,12.56,76.17,71.96,7.62,291.48,*****,15.93,14,1.58,*****,2.1,80.06,*****,3.46,361.15,29.3,29.91,5.75,33.4,0.38,4.77,28.59,1.69,18.11,0.76,*****,26.32,9.26,3.51
2019/6/28,108.12,137.03,122.04,81.29,109.32,11.49,16.34,12.52,75.08,71.3,7.41,286.85,*****,15.65,13.81,1.56,*****,2.09,79.33,*****,3.47,355.81,28.83,29.44,5.61,32.83,0.38,4.77,28.64,1.69,18.62,0.76,*****,25.99,9.21,3.46
2019/7/31,108.28,135.16,121.5,82.65,109.64,11.51,16.28,12.58,75.61,72.36,7.71,287.32,*****,15.74,13.86,1.58,*****,2.12,79.57,*****,3.52,356.01,28.87,29.48,5.68,32.78,0.37,4.76,28.54,1.71,19.08,0.77,*****,26.26,9.21,3.49
2019/8/30,106.33,129.27,118.27,80.11,108.55,11.02,15.85,11.86,72,68.47,7.03,282.09,*****,15.03,13.56,1.5,*****,2.04,76.79,*****,3.46,349.66,28.35,28.95,5.4,32.1,0.36,4.58,27.23,1.62,18.83,0.75,*****,25.41,8.79,3.39
2019/9/30,107.45,132.49,118.24,81.11,108.44,11.05,15.84,11.92,73.07,68.13,7.23,285.03,*****,15.09,13.71,1.51,*****,2.06,77.81,*****,3.51,353.61,28.65,29.26,5.48,32.43,0.36,4.57,27.16,1.65,18.8,0.76,*****,25.68,8.98,3.46
2019/10/31,108.15,136.35,119.41,81.93,108.82,11.06,15.99,11.82,73.43,68.47,7.24,286.94,*****,15.24,13.79,1.52,*****,2.1,78.85,*****,3.56,356.14,28.83,29.45,5.59,32.62,0.36,4.65,27.75,1.68,18.7,0.77,*****,25.83,9.13,3.52
2019/11/29,108.9,140.31,120.29,82.26,109.65,11.29,16.1,11.9,74.31,69.62,7.36,288.93,*****,15.51,13.91,1.52,*****,2.15,79.97,*****,3.6,358.63,29.04,29.65,5.64,32.89,0.36,4.71,28.08,1.71,18.97,0.78,*****,26.2,9.32,3.57
2019/12/30,109.24,143.05,121.26,82.85,110.95,11.57,16.23,12.08,75.07,71.91,7.58,289.84,*****,15.58,13.99,1.54,*****,2.15,80.46,*****,3.62,359.91,29.13,29.74,5.71,32.84,0.37,4.76,28.37,1.73,18.7,0.78,*****,26.34,9.3,3.61
2020/1/31,109.39,142.93,121.35,83.6,112.82,11.5,16.24,12.21,74.95,72.2,7.59,290.24,*****,15.8,14.07,1.54,*****,2.15,80.96,*****,3.59,360.57,29.16,29.79,5.82,32.99,0.36,4.82,28.57,1.77,18.47,0.8,*****,26.83,9.38,3.65
2020/2/28,109.99,142.71,119.99,82.82,112.68,11.36,16.06,11.85,73.41,70.44,7.33,291.84,*****,15.71,14.15,1.54,*****,2.17,79.21,*****,3.51,360.87,29.32,29.95,5.85,33.18,0.36,4.79,28.06,1.72,18.17,0.8,*****,26.47,9.21,3.65
2020/3/31,107.54,133.35,119.14,77.33,112.37,10.98,15.95,10.61,67.06,65.13,6.5,285.3,*****,15.31,13.85,1.45,*****,2.11,76.02,*****,3.36,348.49,28.65,29.28,4.89,32.38,0.35,4.51,26.93,1.46,17.02,0.71,*****,25.08,8.83,3.57
2020/4/30,107.96,133.97,117.37,76.74,111.26,10.76,15.73,10.35,67.82,64.76,5.82,285.87,*****,15.24,13.93,1.42,*****,2.13,75.81,*****,3.31,347.12,28.72,29.39,4.47,32.27,0.33,4.3,25.83,1.44,15.8,0.68,*****,24.84,8.82,3.59
2020/5/29,107.35,131.83,116.99,76.89,110.64,11.04,15.69,10.65,70.03,65.38,5.93,284.56,*****,15.07,13.85,1.42,*****,2.12,75.68,*****,3.35,347.61,28.58,29.23,4.59,32.05,0.33,4.29,25.83,1.48,15.54,0.72,*****,24.74,8.74,3.59
2020/6/30,107.55,134.74,121.05,79.33,112.94,11.55,16.24,11.29,74.08,69.22,6.29,285.15,*****,15.19,13.88,1.42,*****,2.15,77.14,*****,3.45,349.58,28.67,29.28,4.83,31.99,0.35,4.54,27.26,1.55,15.78,0.76,*****,25.17,8.9,3.63
2020/7/31,106.84,135.12,122.21,79.03,114.17,11.79,16.41,11.46,74.95,70.26,6.37,283.37,*****,15.24,13.78,1.43,*****,2.16,76.98,*****,3.41,347.73,28.49,29.09,4.77,31.69,0.35,4.6,27.44,1.5,15.55,0.74,*****,25.06,8.92,3.63
2020/8/31,106.05,139.26,125.42,80.1,116.45,12.17,16.84,11.85,76.3,69.96,6.16,281.36,*****,15.31,13.68,1.42,*****,2.17,77.43,*****,3.4,346.95,28.28,28.88,4.78,31.32,0.36,4.8,28.49,1.44,14.6,0.72,*****,25.33,8.94,3.61
2020/9/30,105.76,137.3,124.7,80.07,115.59,11.97,16.76,11.6,76.47,70.5,6.31,280.52,*****,15.51,13.65,1.44,*****,2.18,77.4,*****,3.37,345.87,28.2,28.8,4.88,31.09,0.35,4.67,27.92,1.4,14.05,0.72,*****,25.48,8.97,3.62
2020/10/30,105.27,136.61,123.86,79.67,115.32,11.91,16.64,11.34,75.03,69.84,6.39,279.2,*****,15.68,13.58,1.43,*****,2.17,77.42,*****,3.37,344.08,28.07,28.66,4.94,30.79,0.34,4.56,27.32,1.36,13.29,0.72,*****,25.37,9.19,3.67
2020/11/30,104.41,137.89,123.53,79.81,114.64,12.08,16.59,11.49,75.93,71.65,6.73,276.93,*****,15.83,13.47,1.41,*****,2.16,77.49,*****,3.43,341.83,27.84,28.43,5.11,30.59,0.34,4.67,27.47,1.36,13.1,0.74,*****,25.4,9.37,3.66
2020/12/30,103.84,139.41,126.2,80.96,116.73,12.4,16.96,11.91,78.02,73.53,6.97,275.41,*****,15.91,13.4,1.41,*****,2.16,77.89,*****,3.45,340.48,27.68,28.27,5.2,30.37,0.35,4.8,28.22,1.4,13.44,0.74,*****,25.6,9.49,3.68
2021/1/29,103.69,141.49,126.23,81.51,116.97,12.51,16.97,12.18,80.09,74.58,6.87,275.01,*****,16.03,13.38,1.42,*****,2.16,78.24,*****,3.46,342.22,27.65,28.23,5.21,30.43,0.35,4.83,27.82,1.4,14,0.74,*****,25.7,9.44,3.7
